Use this table to estimate the effect of glossy lamination on offset prints.

The correction is valid for prints with a 150-200 lpi screen on coated paper.
Add the given DELTA_L/A/B values to your measurements on unlaminated prints.
Make sure that the CMYK sequence of your measurements matches this table.
Data are based on the work of the ECI, see documentation and www.eci.org.
This file is provided "AS IS", without warranties and liabilities of any kind.

ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	DELTA_L	DELTA_A	DELTA_B
963	70	40	0	40	-6.95	0.92	0
964	70	70	0	40	-5.7	0.07	0.54
965	70	100	0	40	-3.75	-1.87	0.83
966	100	0	0	40	-3.83	0.64	1.95
967	100	20	0	40	-4.24	1.52	1.95
968	100	40	0	40	-4.41	1.78	1.93
969	100	70	0	40	-3.88	0.86	2.07
970	100	100	0	40	-3.15	-0.54	1.91
971	0	0	20	40	-7.69	-0.47	3.72
972	0	20	20	40	-8.68	2.01	2.38
973	0	40	20	40	-8.57	3.35	2.17
974	0	70	20	40	-6.48	2.08	2.29
975	0	100	20	40	-3.39	-1.71	1.83
976	20	0	20	40	-8.43	-1.83	1.79
977	20	20	20	40	-8.92	0.31	1.07
978	20	40	20	40	-8.71	1.56	0.95
979	20	70	20	40	-6.75	0.4	1.03
980	20	100	20	40	-4.01	-2.77	0.74
981	40	0	20	40	-8.35	-2.73	1.03
982	40	20	20	40	-8.61	-0.87	0.65
983	40	40	20	40	-8.39	0.33	0.47
984	40	70	20	40	-6.58	-0.68	0.48
985	40	100	20	40	-4.15	-3.19	0.4
986	70	0	20	40	-6.71	-2.41	1.76
987	70	20	20	40	-6.9	-0.9	1.52
988	70	40	20	40	-6.76	0.09	1.34
989	70	70	20	40	-5.45	-0.73	1.39
990	70	100	20	40	-3.6	-2.44	1.44
991	100	0	20	40	-3.86	-0.51	3.95
992	100	20	20	40	-4.24	0.49	3.52
993	100	40	20	40	-4.26	0.99	3.19
994	100	70	20	40	-3.7	0.19	2.93
995	100	100	20	40	-3.03	-0.98	2.71
996	0	0	40	40	-7.13	-0.46	4.78
997	0	20	40	40	-7.93	1.78	3.28
998	0	40	40	40	-7.94	3.26	2.65
999	0	70	40	40	-6.04	1.73	2.49
1000	0	100	40	40	-3.38	-1.84	1.82
1001	20	0	40	40	-7.91	-1.74	2.88
1002	20	20	40	40	-8.46	0.19	1.75
1003	20	40	40	40	-8.28	1.39	1.23
1004	20	70	40	40	-6.37	-0.03	1.14
1005	20	100	40	40	-3.96	-2.88	0.74
1006	40	0	40	40	-7.88	-2.68	1.9
1007	40	20	40	40	-8.16	-1.2	1.02
1008	40	40	40	40	-7.93	-0.02	0.57
1009	40	70	40	40	-6.23	-1.12	0.76
1010	40	100	40	40	-4.1	-3.44	0.32
1011	70	0	40	40	-6.37	-2.53	2.68
1012	70	20	40	40	-6.57	-1.07	1.96
1013	70	40	40	40	-6.52	-0.08	1.47
1014	70	70	40	40	-5.13	-1.01	1.51
1015	70	100	40	40	-3.4	-2.73	1.45
1016	100	0	40	40	-3.73	-0.55	4.48
1017	100	20	40	40	-4.1	0.47	3.84
1018	100	40	40	40	-4.11	0.94	3.32
1019	100	70	40	40	-3.51	0.06	3.03
1020	100	100	40	40	-2.75	-1.17	2.74
1021	0	0	70	40	-5.97	-0.13	3.62
1022	0	20	70	40	-6.88	1.92	1.81
1023	0	40	70	40	-7.03	3.09	0.98
1024	0	70	70	40	-5.42	1.3	1.22
1025	0	100	70	40	-3.26	-1.9	1.29
1026	20	0	70	40	-6.93	-1.56	1.29
1027	20	20	70	40	-7.41	0.17	0.21
1028	20	40	70	40	-7.31	1.2	-0.36
1029	20	70	70	40	-5.8	-0.42	-0.11
1030	20	100	70	40	-3.78	-2.99	0.07
1031	40	0	70	40	-6.99	-2.49	0.26
1032	40	20	70	40	-7.3	-0.99	-0.58
1033	40	40	70	40	-7.08	-0.06	-1.08
1034	40	70	70	40	-5.7	-1.38	-0.69
1035	40	100	70	40	-3.88	-3.57	-0.44
1036	70	0	70	40	-5.69	-2.07	1.02
1037	70	20	70	40	-5.91	-0.74	0.31
1038	70	40	70	40	-5.79	0.05	-0.07
1039	70	70	70	40	-4.67	-0.97	0.23
1040	70	100	70	40	-3.25	-2.61	0.55
1041	100	0	70	40	-3.48	0.31	2.91
1042	100	20	70	40	-3.74	1.07	2.27
1043	100	40	70	40	-3.77	1.61	1.85
1044	100	70	70	40	-3.18	0.54	1.96
1045	100	100	70	40	-2.52	-0.71	1.94
1046	0	0	100	40	-4.69	0.02	-0.89
1047	0	20	100	40	-5.76	1.79	-1.99
1048	0	40	100	40	-5.98	2.57	-2.02
1049	0	70	100	40	-4.74	0.75	-0.79
1050	0	100	100	40	-3.11	-1.97	0.49
1051	20	0	100	40	-5.71	-1.43	-3.06
1052	20	20	100	40	-6.43	0.16	-3.79
1053	20	40	100	40	-6.34	1.01	-3.53
1054	20	70	100	40	-5.16	-0.85	-2.13
1055	20	100	100	40	-3.7	-2.97	-0.93
1056	40	0	100	40	-6.02	-2.27	-3.96
1057	40	20	100	40	-6.31	-0.74	-4.28
1058	40	40	100	40	-6.2	-0.1	-4.03
1059	40	70	100	40	-5.05	-1.66	-2.75
1060	40	100	100	40	-3.76	-3.43	-1.6
1061	70	0	100	40	-4.99	-1.44	-2.58
1062	70	20	100	40	-5.25	-0.4	-2.89
1063	70	40	100	40	-5.13	0.09	-2.85
1064	70	70	100	40	-4.19	-1.05	-1.71
1065	70	100	100	40	-3.01	-2.45	-0.78
1066	100	0	100	40	-3.14	1.04	0.12
1067	100	20	100	40	-3.44	1.69	-0.14
1068	100	40	100	40	-3.45	2.02	-0.28
1069	100	70	100	40	-2.89	1.11	0.27
1070	100	100	100	40	-2.21	-0.05	0.49
1071	0	0	0	60	-8.68	-0.15	0.4
1072	0	20	0	60	-9.1	1.76	0.51
1073	0	40	0	60	-8.74	2.61	0.79
1074	0	70	0	60	-6.64	1.57	1.54
1075	0	100	0	60	-3.79	-1.32	1.55
1076	20	0	0	60	-8.84	-0.92	-0.44
1077	20	20	0	60	-9.16	0.72	-0.49
1078	20	40	0	60	-8.75	1.51	-0.13
1079	20	70	0	60	-6.89	0.55	0.53
1080	20	100	0	60	-4.25	-1.99	0.59
1081	40	0	0	60	-8.46	-1.42	-0.82
1082	40	20	0	60	-8.7	0.07	-0.81
1083	40	40	0	60	-8.34	0.92	-0.33
1084	40	70	0	60	-6.67	-0.04	0.13
1085	40	100	0	60	-4.39	-2.18	0.18
1086	70	0	0	60	-6.78	-0.82	0.02
1087	70	20	0	60	-7.06	0.39	0.07
1088	70	40	0	60	-6.86	0.98	0.31
1089	70	70	0	60	-5.73	0.16	0.74
1090	70	100	0	60	-3.93	-1.56	1
1091	100	0	0	60	-4.15	0.66	1.86
1092	100	20	0	60	-4.57	1.61	1.8
1093	100	40	0	60	-4.68	1.83	1.87
1094	100	70	0	60	-4.1	0.77	2.11
1095	100	100	0	60	-3.33	-0.82	1.91
1096	0	0	20	60	-8.17	-0.32	2.69
1097	0	20	20	60	-8.63	1.49	1.92
1098	0	40	20	60	-8.23	2.24	2
1099	0	70	20	60	-6.33	1.1	2.33
1100	0	100	20	60	-3.71	-1.59	2.03
1101	20	0	20	60	-8.42	-1.36	1.41
1102	20	20	20	60	-8.64	0.27	1
1103	20	40	20	60	-8.27	1.03	1.1
1104	20	70	20	60	-6.51	-0.02	1.31
1105	20	100	20	60	-4.18	-2.44	1.11
1106	40	0	20	60	-8.09	-1.98	1.01
1107	40	20	20	60	-8.25	-0.47	0.8
1108	40	40	20	60	-7.96	0.32	0.76
1109	40	70	20	60	-6.36	-0.65	0.89
1110	40	100	20	60	-4.23	-2.78	0.87
1111	70	0	20	60	-6.56	-1.65	1.69
1112	70	20	20	60	-6.75	-0.36	1.54
1113	70	40	20	60	-6.57	0.27	1.47
1114	70	70	20	60	-5.42	-0.56	1.6
1115	70	100	20	60	-3.72	-2.2	1.72
1116	100	0	20	60	-4.15	-0.22	3.28
1117	100	20	20	60	-4.5	0.78	3.01
1118	100	40	20	60	-4.44	1.1	2.93
1119	100	70	20	60	-3.86	0.11	2.94
1120	100	100	20	60	-3.16	-1.42	2.78
1121	0	0	40	60	-7.49	-0.31	3.36
1122	0	20	40	60	-7.87	1.31	2.53
1123	0	40	40	60	-7.62	2.16	2.31
1124	0	70	40	60	-5.91	0.78	2.41
1125	0	100	40	60	-3.68	-1.75	2.05
1126	20	0	40	60	-7.83	-1.3	2.09
1127	20	20	40	60	-8.12	0.2	1.44
1128	20	40	40	60	-7.82	0.92	1.24
1129	20	70	40	60	-6.13	-0.38	1.34
1130	20	100	40	60	-4.08	-2.56	1.14
1131	40	0	40	60	-7.59	-1.92	1.5
1132	40	20	40	60	-7.77	-0.67	0.95
1133	40	40	40	60	-7.49	0.09	0.76
1134	40	70	40	60	-5.98	-0.95	1.07
1135	40	100	40	60	-4.1	-2.96	0.82
1136	70	0	40	60	-6.22	-1.68	2.16
1137	70	20	40	60	-6.4	-0.41	1.7
1138	70	40	40	60	-6.27	0.22	1.46
1139	70	70	40	60	-5.07	-0.7	1.66
1140	70	100	40	60	-3.5	-2.41	1.73
1141	100	0	40	60	-3.99	-0.19	3.52
1142	100	20	40	60	-4.32	0.83	3.14
1143	100	40	40	60	-4.24	1.07	2.93
1144	100	70	40	60	-3.65	0.03	2.94
1145	100	100	40	60	-2.88	-1.54	2.78
1146	0	0	70	60	-6.21	-0.08	2.39
1147	0	20	70	60	-6.77	1.43	1.32
1148	0	40	70	60	-6.7	2.09	0.96
1149	0	70	70	60	-5.28	0.49	1.34
1150	0	100	70	60	-3.5	-1.73	1.47
1151	20	0	70	60	-6.77	-1.14	0.77
1152	20	20	70	60	-7.08	0.21	0.13
1153	20	40	70	60	-6.88	0.81	-0.1
1154	20	70	70	60	-5.55	-0.62	0.25
1155	20	100	70	60	-3.85	-2.6	0.45
1156	40	0	70	60	-6.67	-1.74	0.11
1157	40	20	70	60	-6.92	-0.45	-0.44
1158	40	40	70	60	-6.68	0.13	-0.7
1159	40	70	70	60	-5.46	-1.09	-0.23
1160	40	100	70	60	-3.85	-3.04	0.04
1161	70	0	70	60	-5.56	-1.27	0.72
1162	70	20	70	60	-5.77	-0.06	0.24
1163	70	40	70	60	-5.6	0.43	0.1
1164	70	70	70	60	-4.6	-0.58	0.47
1165	70	100	70	60	-3.26	-2.31	0.79
1166	100	0	70	60	-3.72	0.41	2.22
1167	100	20	70	60	-3.98	1.31	1.79
1168	100	40	70	60	-3.93	1.69	1.67
1169	100	70	70	60	-3.3	0.53	1.93
1170	100	100	70	60	-2.6	-1.03	1.96
1171	0	0	100	60	-4.86	0	-1.05
1172	0	20	100	60	-5.62	1.4	-1.73
1173	0	40	100	60	-5.66	1.82	-1.55
1174	0	70	100	60	-4.6	0.23	-0.44
1175	0	100	100	60	-3.32	-1.66	0.43
1176	20	0	100	60	-5.53	-1.04	-2.54
1177	20	20	100	60	-6.1	0.29	-3.08
1178	20	40	100	60	-5.98	0.8	-2.82
1179	20	70	100	60	-4.95	-0.86	-1.66
1180	20	100	100	60	-3.73	-2.52	-0.8
1181	40	0	100	60	-5.67	-1.52	-3.1
1182	40	20	100	60	-5.99	-0.17	-3.45
1183	40	40	100	60	-5.89	0.2	-3.27
1184	40	70	100	60	-4.87	-1.25	-2.23
1185	40	100	100	60	-3.67	-2.92	-1.32
1186	70	0	100	60	-4.85	-0.76	-2.02
1187	70	20	100	60	-5.14	0.29	-2.39
1188	70	40	100	60	-5.05	0.55	-2.36
1189	70	70	100	60	-4.19	-0.6	-1.48
1190	70	100	100	60	-2.97	-2.18	-0.71
1191	100	0	100	60	-3.47	0.95	-0.06
1192	100	20	100	60	-3.75	1.86	-0.34
1193	100	40	100	60	-3.68	2.15	-0.35
1194	100	70	100	60	-3.04	1.2	0.17
1195	100	100	100	60	-2.3	-0.15	0.3
1196	0	0	0	80	-6.97	-0.18	0.46
1197	0	40	0	80	-6.79	1.97	0.75
1198	0	70	0	80	-5.43	1.92	1.15
1199	0	100	0	80	-3.46	0.21	0.95
1200	40	0	0	80	-6.62	-1.23	-0.71
1201	40	40	0	80	-6.55	0.77	-0.42
1202	40	70	0	80	-5.43	0.65	-0.17
1203	40	100	0	80	-3.93	-0.73	-0.33
1204	70	0	0	80	-5.38	-1.16	-0.41
1205	70	40	0	80	-5.45	0.54	-0.16
1206	70	70	0	80	-4.73	0.4	0.06
1207	70	100	0	80	-3.65	-0.83	-0.02
1208	100	0	0	80	-3.33	-0.25	0.77
1209	100	40	0	80	-3.82	0.94	0.89
1210	100	70	0	80	-3.58	0.57	0.95
1211	100	100	0	80	-3.2	-0.58	0.6
1212	0	0	40	80	-5.78	-0.38	2.78
1213	0	40	40	80	-5.77	1.49	2.33
1214	0	70	40	80	-4.72	1.16	2.39
1215	0	100	40	80	-3.22	-0.33	1.97
1216	40	0	40	80	-5.74	-1.64	1.22
1217	40	40	40	80	-5.69	0.11	0.88
1218	40	70	40	80	-4.73	-0.26	1.04
1219	40	100	40	80	-3.52	-1.58	0.68
1220	70	0	40	80	-4.76	-1.85	1.42
1221	70	40	40	80	-4.81	-0.13	1.11
1222	70	70	40	80	-4.1	-0.53	1.18
1223	70	100	40	80	-3.15	-1.76	1.05
1224	100	0	40	80	-3.09	-1.2	2.33
1225	100	40	40	80	-3.36	0.26	2.02
1226	100	70	40	80	-3.13	-0.17	1.94
1227	100	100	40	80	-2.69	-1.36	1.7
1228	0	0	70	80	-4.68	-0.2	2.55
1229	0	40	70	80	-4.96	1.46	1.86
1230	0	70	70	80	-4.15	0.98	2
1231	0	100	70	80	-3	-0.32	1.81
1232	40	0	70	80	-4.91	-1.46	0.75
1233	40	40	70	80	-5.03	0.09	0.24
1234	40	70	70	80	-4.28	-0.38	0.4
1235	40	100	70	80	-3.26	-1.59	0.36
1236	70	0	70	80	-4.17	-1.56	0.88
1237	70	40	70	80	-4.29	0.01	0.47
1238	70	70	70	80	-3.71	-0.43	0.56
1239	70	100	70	80	-2.9	-1.53	0.57
1240	100	0	70	80	-2.89	-0.88	1.77
1241	100	40	70	80	-3.16	0.7	1.33
1242	100	70	70	80	-2.86	0.19	1.32
1243	100	100	70	80	-2.41	-0.87	1.16
1244	0	0	100	80	-3.62	0.06	0.68
1245	0	40	100	80	-4.13	1.41	0.33
1246	0	70	100	80	-3.58	0.89	0.67
1247	0	100	100	80	-2.85	-0.13	0.76
1248	40	0	100	80	-4.15	-1.14	-1.01
1249	40	40	100	80	-4.38	0.27	-1.33
1250	40	70	100	80	-3.76	-0.31	-0.87
1251	40	100	100	80	-3.08	-1.31	-0.58
1252	70	0	100	80	-3.65	-1.09	-0.71
1253	70	40	100	80	-3.81	0.29	-1.07
1254	70	70	100	80	-3.31	-0.15	-0.69
1255	70	100	100	80	-2.64	-1.1	-0.41
1256	100	0	100	80	-2.8	-0.54	0.32
1257	100	40	100	80	-3.03	1.03	-0.1
1258	100	70	100	80	-2.67	0.68	0.01
1259	100	100	100	80	-2.19	-0.18	-0.04
1260	0	0	0	100	-4.31	-0.55	0.92
1261	0	40	0	100	-4.73	1.92	0.55
1262	0	100	0	100	-3.36	1.34	-0.2
1263	40	0	0	100	-4.3	-2.22	-0.9
1264	40	40	0	100	-4.57	0.19	-1.03
1265	40	100	0	100	-3.38	-0.93	-1.17
1266	100	0	0	100	-2.4	-0.86	-0.06
1267	100	40	0	100	-2.76	0.32	-0.08
1268	100	100	0	100	-2.52	-1.53	-0.67
1269	0	0	40	100	-3.51	-0.73	3.27
1270	0	40	40	100	-3.78	1.34	2.24
1271	0	100	40	100	-2.89	0.88	0.55
1272	40	0	40	100	-3.52	-2.46	1.41
1273	40	40	40	100	-3.7	-0.25	0.76
1274	40	100	40	100	-2.9	-0.97	-0.23
1275	100	0	40	100	-2.17	-1.27	1.42
1276	100	40	40	100	-2.42	0.09	0.99
1277	100	100	40	100	-2.14	-1.42	0.3
1278	0	0	100	100	-2.16	-0.09	1.78
1279	0	40	100	100	-2.65	1.52	0.77
1280	0	100	100	100	-2.37	1.36	0.26
1281	40	0	100	100	-2.52	-1.66	0.44
1282	40	40	100	100	-2.82	0.29	-0.36
1283	40	100	100	100	-2.46	0.1	-0.63
1284	100	0	100	100	-1.97	-1.34	0.26
1285	100	40	100	100	-2.16	0.52	-0.24
1286	100	100	100	100	-1.67	-0.15	-0.41
1287	100	0	0	0	-0.73	-0.75	-0.31
1288	98	0	0	0	-0.89	-0.86	-0.38
1289	95	0	0	0	-1.13	-1.04	-0.59
1290	90	0	0	0	-1.63	-1.52	-1.08
1291	85	0	0	0	-2.19	-2.09	-1.68
1292	80	0	0	0	-2.82	-2.8	-2.41
1293	75	0	0	0	-3.49	-3.35	-3.17
1294	70	0	0	0	-4.04	-3.61	-3.76
1295	60	0	0	0	-4.61	-3.95	-4.47
1296	50	0	0	0	-4.82	-3.77	-4.54
1297	40	0	0	0	-4.77	-3.82	-4.48
1298	30	0	0	0	-4.95	-3.34	-4.72
1299	25	0	0	0	-4.45	-2.96	-4
1300	20	0	0	0	-3.71	-2.54	-3.13
1301	15	0	0	0	-3.28	-1.73	-2.52
1302	10	0	0	0	-2.64	-1.28	-1.75
1303	7	0	0	0	-2.23	-0.98	-1.2
1304	5	0	0	0	-1.92	-0.74	-0.82
1305	3	0	0	0	-1.61	-0.46	-0.41
1306	2	0	0	0	-1.43	-0.3	-0.18
1307	0	100	0	0	-0.68	1.66	1.27
1308	0	98	0	0	-0.81	1.82	1.33
1309	0	95	0	0	-1.05	2.15	1.38
1310	0	90	0	0	-1.57	3.01	1.41
1311	0	85	0	0	-2.23	4.15	1.48
1312	0	80	0	0	-3.08	5.62	1.5
1313	0	75	0	0	-3.93	6.9	1.47
1314	0	70	0	0	-4.55	7.69	1.39
1315	0	60	0	0	-5.29	8.3	1.19
1316	0	50	0	0	-5.55	8.11	0.64
1317	0	40	0	0	-5.75	7.84	0.22
1318	0	30	0	0	-5.7	7.11	-0.17
1319	0	25	0	0	-5.15	6.12	-0.2
1320	0	20	0	0	-4.46	5.06	-0.28
1321	0	15	0	0	-3.73	3.89	-0.28
1322	0	10	0	0	-2.97	2.75	-0.17
1323	0	7	0	0	-2.48	2.05	-0.02
1324	0	5	0	0	-2.13	1.53	0
1325	0	3	0	0	-1.74	0.98	0.1
1326	0	2	0	0	-1.53	0.67	0.16
1327	0	0	100	0	-0.04	-0.13	3.3
1328	0	0	98	0	-0.1	-0.13	3.53
1329	0	0	95	0	-0.14	-0.13	3.96
1330	0	0	90	0	-0.24	-0.13	4.93
1331	0	0	85	0	-0.34	-0.17	6.17
1332	0	0	80	0	-0.46	-0.25	7.69
1333	0	0	75	0	-0.64	-0.23	9.09
1334	0	0	70	0	-0.8	-0.2	10.03
1335	0	0	60	0	-0.94	-0.36	11.03
1336	0	0	50	0	-1.12	-0.44	10.66
1337	0	0	40	0	-1.25	-0.62	10.24
1338	0	0	30	0	-1.5	-0.9	9.6
1339	0	0	25	0	-1.44	-0.87	8.47
1340	0	0	20	0	-1.32	-0.76	7.05
1341	0	0	15	0	-1.33	-0.47	5.39
1342	0	0	10	0	-1.25	-0.34	3.98
1343	0	0	7	0	-1.2	-0.28	3.09
1344	0	0	5	0	-1.16	-0.23	2.36
1345	0	0	3	0	-1.13	-0.14	1.59
1346	0	0	2	0	-1.12	-0.09	1.19
1347	0	0	0	100	-4.31	-0.55	0.92
1348	0	0	0	98	-4.23	-0.46	0.79
1349	0	0	0	95	-4.41	-0.38	0.65
1350	0	0	0	90	-5.04	-0.28	0.53
1351	0	0	0	85	-5.99	-0.23	0.48
1352	0	0	0	80	-6.97	-0.18	0.46
1353	0	0	0	75	-7.58	-0.15	0.46
1354	0	0	0	70	-8.15	-0.14	0.45
1355	0	0	0	60	-8.68	-0.15	0.4
1356	0	0	0	50	-8.05	-0.17	0.31
1357	0	0	0	40	-8.06	-0.17	0.1
1358	0	0	0	30	-7.63	-0.18	-0.11
1359	0	0	0	25	-6.92	-0.16	-0.01
1360	0	0	0	20	-5.92	-0.15	0.07
1361	0	0	0	15	-4.76	-0.14	0.16
1362	0	0	0	10	-3.74	-0.09	0.24
1363	0	0	0	7	-3.08	-0.06	0.28
1364	0	0	0	5	-2.59	-0.04	0.31
1365	0	0	0	3	-2.03	-0.01	0.33
1366	0	0	0	2	-1.73	0	0.34
1367	0	0	0	0	-1.01	0.02	0.34
1368	100	85	85	0	-1.18	-0.53	0.76
1369	80	65	65	0	-2.56	-1.4	0.57
1370	60	45	45	0	-4.83	-1.79	-0.24
1371	40	27	27	0	-6.41	-0.82	0.39
1372	20	12	12	0	-5.25	-0.54	-0.06
1373	10	6	6	0	-3.81	-0.08	0.08
1374	5	3	3	0	-2.63	-0.03	0.19
1375	40	27	27	10	-7.41	-0.67	0.63
1376	20	12	12	10	-6.81	-0.5	0.13
1377	10	6	6	10	-5.82	-0.14	0.17
1378	60	45	45	20	-6.35	-0.71	0.43
1379	40	27	27	20	-8.28	-0.57	0.74
1380	20	12	12	20	-8.12	-0.42	0.24
1381	10	6	6	20	-7.45	-0.09	0.28
1382	80	65	65	40	-4.29	-0.34	1.23
1383	60	45	45	40	-6.75	-0.19	0.86
1384	40	27	27	40	-8.56	-0.33	1.03
1385	20	12	12	40	-8.95	-0.3	0.6
1386	10	6	6	40	-8.8	-0.06	0.67
1387	100	85	85	60	-2.77	0.13	1.05
1388	80	65	65	60	-4.3	-0.2	1.28
1389	60	45	45	60	-6.41	0.18	1.02
1390	40	27	27	60	-8.13	-0.04	1.12
1391	20	12	12	60	-8.81	-0.18	0.6
1392	10	6	6	60	-8.93	-0.01	0.58
1393	100	85	85	80	-2.47	-0.16	0.6
1394	80	65	65	80	-3.53	-0.12	1.07
1395	60	45	45	80	-4.92	-0.22	0.87
1396	40	27	27	80	-6.19	-0.06	0.98
1397	20	12	12	80	-6.84	-0.24	0.54
1398	10	6	6	80	-7.02	-0.14	0.51
1399	100	85	85	100	-1.92	-0.11	-0.09
1400	80	65	65	100	-2.6	-0.21	0.4
1401	60	45	45	100	-3.32	-0.53	0.5
1402	40	27	27	100	-3.97	-0.65	0.69
1403	20	12	12	100	-4.37	-0.78	0.63
1404	10	6	6	100	-4.43	-0.64	0.75
1405	100	0	0	70	-3.99	0.36	1.39
1406	0	100	0	70	-3.78	-0.66	1.43
1407	0	0	100	70	-4.45	0.02	-0.31
1408	100	100	0	70	-3.34	-0.69	1.52
1409	100	0	100	70	-3.33	0.31	0.11
1410	0	100	100	70	-3.25	-1.04	0.64
1411	40	40	0	70	-7.69	0.82	-0.33
1412	40	0	40	70	-6.91	-1.74	1.37
1413	0	40	40	70	-6.92	1.72	2.29
1414	3	3	0	0	-2.27	0.47	-0.69
1415	3	0	3	0	-1.69	-0.62	0.78
1416	0	3	3	0	-1.81	0.78	1.26
1417	3	3	3	0	-2.34	0.3	0.49
1418	3	0	0	3	-2.55	-0.46	-0.37
1419	0	3	0	3	-2.68	0.95	0.13
1420	3	3	0	3	-3.2	0.46	-0.65
1421	0	0	3	3	-2.08	-0.14	1.6
1422	3	0	3	3	-2.63	-0.62	0.8
1423	0	3	3	3	-2.74	0.79	1.27
1424	3	3	3	3	-3.27	0.3	0.51
1425	7	7	0	0	-3.51	0.82	-1.46
1426	7	0	7	0	-2.43	-1.32	1.38
1427	0	7	7	0	-2.58	1.63	2.35
1428	7	7	7	0	-3.62	0.53	0.77
1429	7	0	0	7	-4.04	-0.88	-0.9
1430	0	7	0	7	-4.23	1.74	0.1
1431	7	7	0	7	-5.1	0.65	-1.14
1432	0	0	7	7	-3.15	-0.24	2.74
1433	7	0	7	7	-4.19	-1.16	1.28
1434	0	7	7	7	-4.29	1.37	2.12
1435	7	7	7	7	-5.17	0.42	0.74
1436	40	3	0	0	-5.1	-3.18	-4.47
1437	3	40	0	0	-5.99	7.2	-0.25
1438	40	0	3	0	-4.88	-4.1	-3.45
1439	40	3	3	0	-5.18	-3.55	-3.45
1440	0	40	3	0	-5.69	7.73	0.74
1441	3	40	3	0	-5.95	7.06	0.21
1442	40	40	3	0	-6.59	1.46	-2.81
1443	3	0	40	0	-1.77	-1.22	9.41
1444	0	3	40	0	-1.82	0.18	9.41
1445	3	3	40	0	-2.33	-0.29	8.61
1446	40	3	40	0	-5.18	-4.81	2.82
1447	3	40	40	0	-5.18	6.04	3.28
1448	40	0	0	3	-5.32	-3.65	-4.07
1449	40	3	0	3	-5.67	-2.98	-4.08
1450	0	40	0	3	-6.23	7.33	0.28
1451	3	40	0	3	-6.49	6.7	-0.21
1452	40	40	0	3	-6.98	1.64	-2.95
1453	40	0	3	3	-5.43	-3.92	-3.04
1454	40	3	3	3	-5.74	-3.34	-3.05
1455	0	40	3	3	-6.19	7.21	0.82
1456	3	40	3	3	-6.46	6.54	0.28
1457	40	40	3	3	-6.96	1.36	-2.5
1458	0	0	40	3	-2.08	-0.59	9.54
1459	3	0	40	3	-2.59	-1.2	8.7
1460	40	0	40	3	-5.4	-5.13	3.01
1461	0	3	40	3	-2.64	0.21	8.75
1462	3	3	40	3	-3.15	-0.27	7.95
1463	40	3	40	3	-5.66	-4.48	2.66
1464	0	40	40	3	-5.37	6.25	3.72
1465	3	40	40	3	-5.67	5.57	3.06
1466	40	40	40	3	-6.34	-0.05	-0.12
1467	3	0	0	40	-8.23	-0.2	0.51
1468	0	3	0	40	-8.28	0.45	0.75
1469	3	3	0	40	-8.46	0.21	0.36
1470	40	3	0	40	-8.75	-1.68	-1.48
1471	3	40	0	40	-9.15	3.48	0.54
1472	0	0	3	40	-8.03	-0.05	1.4
1473	3	0	3	40	-8.21	-0.27	1.01
1474	40	0	3	40	-8.64	-2.14	-0.98
1475	0	3	3	40	-8.25	0.35	1.24
1476	3	3	3	40	-8.44	0.13	0.86
1477	40	3	3	40	-8.73	-1.87	-0.98
1478	0	40	3	40	-9.01	3.7	1.06
1479	3	40	3	40	-9.08	3.41	0.8
1480	40	40	3	40	-8.65	0.92	-0.54
1481	3	0	40	40	-7.31	-0.74	4.43
1482	0	3	40	40	-7.33	-0.09	4.47
1483	3	3	40	40	-7.51	-0.27	4.12
1484	40	3	40	40	-7.98	-2.37	1.76
1485	3	40	40	40	-8.05	2.94	2.32
1486	0	0	0	10	-3.74	-0.09	0.24
1487	0	0	10	10	-3.83	-0.33	3.3
1488	0	0	20	10	-3.8	-0.64	5.7
1489	0	0	40	10	-3.58	-0.57	8.2
1490	0	0	70	10	-2.91	-0.26	7.73
1491	0	10	0	10	-5.19	2.17	-0.06
1492	0	10	10	10	-5.21	1.75	2.46
1493	0	10	20	10	-5.17	1.78	4.18
1494	0	10	40	10	-4.79	1.41	6.26
1495	0	10	70	10	-4.06	1.62	5.59
1496	0	20	0	10	-6.25	3.99	-0.08
1497	0	20	10	10	-6.17	3.55	1.9
1498	0	20	20	10	-6.17	3.5	3.15
1499	0	20	40	10	-5.59	3.14	4.96
1500	0	20	70	10	-4.81	3.19	4.11
1501	0	40	0	10	-7.18	6.4	0.33
1502	0	40	10	10	-7	6.03	1.61
1503	0	40	20	10	-6.77	5.73	2.49
1504	0	40	40	10	-6.23	5.44	3.31
1505	0	40	70	10	-5.45	5.06	2.21
1506	0	70	0	10	-5.63	5.87	1.34
1507	0	70	10	10	-5.4	5.52	1.9
1508	0	70	20	10	-5.26	5.2	2.11
1509	0	70	40	10	-4.8	4.66	2.3
1510	0	70	70	10	-4.16	4.02	1.58
1511	10	0	0	10	-4.94	-1.11	-1.33
1512	10	0	10	10	-5.06	-1.56	1.53
1513	10	0	20	10	-5.01	-1.9	3.73
1514	10	0	40	10	-4.76	-1.96	6.16
1515	10	0	70	10	-4.08	-1.53	5.46
1516	10	10	0	10	-6.18	0.78	-1.54
1517	10	10	10	10	-6.22	0.43	0.85
1518	10	10	20	10	-6.08	0.16	2.58
1519	10	10	40	10	-5.8	-0.02	4.56
